Candidate,Party
Steen Frandsen,A
Lars Goldschmidt,A
Lea Wermelin,A
David Christensen,B
Niels Ebbesen,B
Gerd Lyng,B
Birger Nissen,B
Diana-Ester B. Eriksen,C
Sebastian Larvad,C
Henriette Søvind,C
Jakob Buchwald Busk,D
Thomas Garfort,F
Andreas Grosbøll,F
Clara Malmqvist,I
Mette Vinqvist,I
Bjarne Hartung Kirkegaard,K
Lars Christian Funk,M
Stine Rosenquist,M
Rene Danielsson,O
Mette Sode Hansen,O
Sabine Nicoline Lyngberg,O
Stine Zink Kaasgaard,Q
Birthe Tindbæk Bredo,V
Peter Juel-Jensen,V
Julie Pauch Nymark,V
Vibeke Brønnum,Æ
Laura Kofod,Ø
Morten Riis,Ø
Martin Kelleher-Petersen,Å
Caroline Meyer White,Å
Charlotte Petersen,UDEN
Trine Bramsen,A
Bjørn Brandenborg,A
Sara Emil Baaring,A
Mads Madsen Henriksen,A
Thomas Skriver Jensen,A
Dan Jørgensen,A
Lasse Haugaard Pedersen,A
Kim Aas,A
Niels Grønlund,B
Kim Lei-Jensen,B
Jan Werner Mathiasen,B
Hanne Ringgaard Møller,B
Rasmus Helveg Petersen,B
Tobias Bennedsen,C
Anne Fiber,C
Kristian Guldfeldt,C
Emil Holbech Hansen,C
Joachim Hoffmann-Petersen,C
John Hoppe,C
Anders Johansson,C
Mai Mercado,C
Roya Moore,C
Mikkel Bjørn,D
Rebecha Foged,D
Jonas René Jensen,D
Malte Jäger,D
Melanie Jørgensen,D
Henrik Tørnqvist Lauridsen,D
Lars Lillebæk,D
Nicolaj Holm Pedersen,D
Jonas Hulgaard Ammundsen,F
Karsten Hønge,F
Lise Müller,F
Nynne Printz,F
Katrine Wulff,F
Katrine Daugaard,I
Silke Anna Hein,I
Anders Kirkeby,I
Sinus Kremmer,I
Christoffer Munk,I
Jenan Jamel Bozo,K
Torben Bundgaard,K
Gert Dyrn,K
Anders Friis Knudsen,K
Simon Lavdal,K
Maria av Skardi,K
Michelle West,K
Niclas Aarestrup,K
Kenneth Bjerg Andersen,M
Rosa Eriksen,M
Carsten Damgaard Møller,M
H.C. Wulff,M
Alex Ahrendtsen,O
Signe Vedersø Keldorff,O
Lars Kolling,O
Charlotte Møller-Madsen,O
Cheanne Nielsen,O
Frank Sørensen,O
Dorthe Ullemose,O
Nishan Ganesh,Q
Nicholas Nyrop Vinthen,Q
Marlene Ambo-Rasmussen,V
Erling Bonnesen,V
Nikolaj Leed Henriksen,V
Araz Khan,V
Thomas Kristoffersen,V
Lars Chr. Lilleholt,V
Pia Offer Madsen,V
Bo Sandberg,V
Martin Jason Adelgaard,Æ
Jens Henrik W. Thulesen Dahl,Æ
Vivian Lindberg Larsen,Æ
Bent Juul Sørensen,Æ
Nikolaj Vang,Æ
Victoria Velásquez,Ø
Reza Javid,Ø
Vibeke Syppli Enrum,Ø
Torsten Ringgaard,Ø
Camilla Dalum Jensen,Ø
Victoria Bøgh Salo,Ø
Niels Bjarne Lund,Ø
Henrik Boye,Å
Linda Frølund Hansen,Å
Bodil Marie Helbo,Å
Anna Astrid Høy-Nielsen,Å
Simon Nyborg Jensen,Å
Martin Kjærulff,Å
Ole Dupont Kofod,Å
Kasper Krebs,Å
Marianne Lassen,Å
Mette Rahbek,Å
Millah Kongsbach,UDEN
Jeppe Bruus,A
Morten Bødskov,A
Maria Durhuus,A
Maria Gudme,A
Kasper Sand Kjær,A
Sebastian Schwartz,A
Mattias Tesfaye,A
Gunvor Wibroe,A
Kashif Ahmad,B
Christina Rittig Falkberg,B
Brian Køster,B
Stinus Lindgreen,B
Sofie Carsten Nielsen,B
Abbas Razvi,B
Esat Sentürk,B
Hediye Temiz,B
Britt Bager,C
Hanne Bjørn,C
Magnus Von Dreiager,C
Tina Cartey Hansen,C
Rasmus Jarlov,C
Michael R. Rugaard,C
Merete Scheelsbeck,C
Henrik Sørensen,C
Thomas Bentsen,D
Ulla Kokfelt,D
Alberte Rasmussen,D
Claus Bøgh Svenningsen,D
Sigurd Agersnap,F
Serdal Benli,F
Niels Haxthausen,F
Rasmus Henriksen,F
Vivi Nør Jacobsen,F
Troels Stru Schmidt,F
Alexander Bruhn Skjøth,F
Sofie F. Villadsen,F
Louise Siv Ebbesen,I
Simon Karim Helledie,I
David Ibsen,I
Jørgen Juhl,I
Steffen Larsen,I
Peter Loft,I
Danny Malkowski,I
Søren Schmidt-Andersen,I
Johnnie V. Gregersen,K
Elif Demir Gökce,K
Esben Frette Johnsen,K
Bolette von Westphal,K
Ammar Ali,M
Lars Arne Christensen,M
Rasmus Skindbjerg Hinrichs,M
Rasmus Lund-Nielsen,M
Anastasia Valentin Rasmussen,M
Monika Rubin,M
Susanne Damsgaard,O
Mikkel Dencker,O
Michael Jensen,O
Cecilie Winther Kristensen,O
Morten Messerschmidt,O
Michael Pihl,O
Lars Prier,O
Rita Rahbek Russell,O
Asham Agha Nadeem,Q
Aqeel Akhtar,Q
Nour El Zeftawy,Q
Sabrina Raaschou Brammer,Q
Karen Ellemann,V
Anders Bo Larsen,V
Lennart Hartmann Nielsen,V
Casper Pedersen,V
Mathias Rinaldo,V
Astrid Søborg,V
Kim Valentin,V
Ricki Vejsmose,V
Charlotte Munch,Æ
Mette Qwinten,Æ
Michael Rosenmark,Æ
Søren Søndergaard,Ø
Tobias Clausen,Ø
Necla Baran,Ø
Mathilde Vinther,Ø
Helge Bo Jensen,Ø
Stefan Rundstrøm,Ø
Stine Rahbek Pedersen,Ø
Qasam Nazir Ahmad,Å
Thomas Anker,Å
Irina Bjørnø,Å
Jesper Callesen,Å
Sofie Groth,Å
Bitten Vivi Jensen,Å
Thomas Lindqvist,Å
Ulla Sandbæk,Å
Henrik Vendelbo Petersen,UDEN
Jovan Tasevski,UDEN
Halima El Abassi,A
Yildiz Akdogan,A
Ida Auken,A
Jarl Feyling,A
Peter Hummelgaard,A
Lone Larsen,A
Jørgen Mørup Pedersen,A
Nikoline Prehn,A
Lars Aslan Rasmussen,A
Mette Reissmann,A
Pernille Rosenkrantz-Theil,A
Lars Werge,A
Klaus Bondam,B
Clara Halvorsen,B
Anders Højsted,B
Marie Kampmann,B
Ruben Kidde,B
Carolina Magdalene Maier,B
Samira Nawa,B
Emilie Normann,B
Michael Rachlin,B
Thomas Rohden,B
Jes Vissing Tiedemann,B
Peter Zinckernagel,B
Katarina Ammitzbøll,C
Allan Beier,C
Helle Bonnesen,C
Nikolaj Bøgh,C
Rico Djernis,C
Helle Jønch,C
Anders Havelund Krøyer,C
Nicola Emily Larsen,C
Laura Lindahl,C
Martin Wood Pedersen,C
Peter Stakemann,C
Casper Øhlers,C
Henrik Ræder Clausen,D
Daniel Pinderup,D
Ketil Wathne Rasmussen,D
Niels Peder Ravn,D
Denise Rostgaard,D
Sadek Al-Amood,F
Balder Mørk Andersen,F
Lisbeth Bech-Nielsen,F
Andreas Bæk,F
Pia Olsen Dyhr,F
Cecilie Louise Balbay Holdt,F
Melissa Skovgaard Jensen,F
Klaus Mygind,F
Halime Oguz,F
Line Petersen,F
Peder Holk Svendsen,F
Carl Valentin,F
Per Nørgaard Andersen,I
Joanne Bywater,I
Christian Riegels Hjorth,I
Martin Sibast Laugesen,I
Hira Nadeem,I
Charlotte Nellemann,I
Ole Birk Olesen,I
Alexander Ryle,I
Claus Willén,I
Jacob Bang,K
Nanna Bock,K
Jesper Housgaard,K
Tina Mørk,K
Gunnar Bjørn Thomsen,K
Marina Andersen,M
Louise Davidsen,M
Ellen Emilie,M
Nanna W. Gotfredsen,M
Johan Kahl,M
Jørgen Kjøller,M
Lean Milo,M
Lars Philipsen Prahm,M
Jon Stephensen,M
Kenneth Kristensen Berth,O
Helene Brix,O
Brian Bruun,O
Jannie Bøgh,O
John Bo Hansen,O
Paw Karslund,O
Sikandar Siddique,Q
Elise Bjerkrheim,Q
Rajesh Holmen,Q
Rashid Ali,Q
Sazan Garmiyani,Q
Daniel Tomicic,Q
Elena Bjerregaard Ryan,Q
Iben Kirstine Parmann,Q
René Bredal,V
Claus Buch,V
Anders Fausbøll,V
Martin Geertsen,V
Jan E. Jørgensen,V
Michael Lange,V
Anne Rasmussen,V
