,Name,Handle,Party,Bio,id
0,Steen Frandsen,@SteenFrandsen,A,,2524397176
1,Lars B. Goldschmidt,@LarsGoldschmidt,A,,2423339089
2,Lea Wermelin,@LeaWermelin,A,"Miljøminister, bornholmer og folketingsmedlem for @spolitik. Mor til to piger. Tlf. 38142142",606561223
3,Dave Christensen,@Koach_C,B,Retired College Football Coach,2374418474
4,Niels E. Ebbesen,@nebbesen,B,,219248466
5,Gerhard Lyng,@GerhardLyng,B,,637353780
6,Birger Nissen,@birgernissen,B,,2726869185
7,Diana-Ester B. Eriksen,none,C,none,2726869185
8,Sebastian Larvad,@SLarvad,C,,2597042407
9,Henriette Søvind,@HenrietteVind,C,"CEO - Foredragsholder, debattør, analytiker, forfatter, adfærds-nørd & livsdesign/skyggevejleder",1319010406304722944
10,Jakob Buchwald Busk,none,D,none,1319010406304722944
11,Thomas Garfort,@thomas_garfort,F,,775023874480087040
12,Andreas Grosbøll,@grosboell,F,Folketingskandidat for SF på Bornholm. Uddannelsesleder for SoSu/PAU på Bornholms Sundheds- og Sygeplejeskole,893052840855445504
13,Clara Malmqvist,none,I,none,893052840855445504
14,Mette Vinqvist,none,I,none,893052840855445504
15,Bjarne Hartung Kirkegaard,none,K,none,893052840855445504
16,Lars Christian Funk,none,M,none,893052840855445504
17,Stine Bo Rosenquist,@stinebo91,M,Seniorkonsulent til Public Affairs og Kommunikation hos De Danske Bilimportører,1007181402075475968
18,Rene Danielsson,@DanielssonRene,O,"Kulturkonservativ debattør og lokalpolitiker på Bornholm for DF. Oversergent, gift og en lille datter + bonus. Fodboldnørd.",1291701512
19,Mette Sode Hansen,none,O,none,1291701512
20,Sabine Nicoline Lyngberg,none,O,none,1291701512
21,Stine Zink Kaasgaard,@stinezk,Q,Næsten direkte fra filosofiens kringelkroge til gravermedhjælper og folketingskandidat for Frie Grønne på Bornholm.,912909277
22,Birthe Tindbæk Bredo,none,V,none,912909277
23,Peter Juel Jensen,@PeterJuelJensen,V,"m/f Venstre, Landdistriktsordfører, Beredskabsordfører, Treasurer i OSCE PA, medlem af Forsvarsudvalget, Transportudvalget, Udvalget for Landdistrikter og Øer",1667366742
24,Julie Pauch Nymark,none,V,none,1667366742
25,Vibeke Brønnum,@VibekeBr,Æ,"Danmarksdemokraternes Folketingskandidat på Bornholm. Bornholmer, sygeplejerske, fhv. folkesundhedschef, MSc ledelse/organisation, gift med Karsten, mor til 2+2",4188436606
26,Laura Kofod,@laura_kofod,Ø,,2337969713
27,Morten Riis,@m_riis,Ø,"Composer, sound-artist and approaching theoretical media archaeology",217415239
28,Martin Kelleher-Petersen,none,Å,none,217415239
29,Caroline Meyer White,none,Å,none,217415239
30,Charlotte Petersen,none,UDEN,none,217415239
31,Trine Bramsen,@Trinebramsen,A,Joan Didion: “Writers are always selling somebody out”.,130160241
32,Bjørn Brandenborg,none,A,none,130160241
33,Sara Emil Baaring,@BaaringEmil,A,Folketingskandidat og medlem af Assens byråd for Socialdemokratiet. Bor i Skalbjerg på Fyn. Folkeskolelærer på Verninge skole. Gift med Mark og har to børn.,1497703950543462413
